session,src_ip,command_count,unique_commands,command_diversity,failed_logins,success_logins,session_duration,icd_mean,icd_std,label
819fd1753942,192.168.211.129,0,0,0.0,0,0,0.0,0.0,0.0,0
575e88ec0ee5,192.168.211.129,0,0,0.0,0,0,0.5,0.0,0.0,0
b3aeb27e15d9,192.168.211.129,0,0,0.0,0,1,1.7,0.0,0.0,0
3f8851af6449,192.168.211.129,0,0,0.0,0,1,1.7,0.0,0.0,0
a0efc1cbe09d,192.168.211.129,0,0,0.0,0,1,1.7,0.0,0.0,0
63e13340cd4f,192.168.211.129,0,0,0.0,0,1,1.7,0.0,0.0,0
c36f0bb1b2e1,192.168.211.129,0,0,0.0,0,1,1.8,0.0,0.0,0
4a192ed5e9e5,192.168.211.129,0,0,0.0,0,1,1.8,0.0,0.0,0
685bab0f0990,192.168.211.129,0,0,0.0,0,1,1.8,0.0,0.0,0
90cd41b3512b,192.168.211.129,0,0,0.0,0,1,1.7,0.0,0.0,0
5257a7bad63d,192.168.211.129,0,0,0.0,3,0,4.7,0.0,0.0,0
d9f7fcfeb73d,192.168.211.129,0,0,0.0,2,0,3.7,0.0,0.0,0
7b3f671fba86,192.168.211.129,0,0,0.0,2,0,3.7,0.0,0.0,0
a0b0c8d66e1e,192.168.211.129,0,0,0.0,3,0,4.7,0.0,0.0,0
4f2277a2dc14,192.168.211.129,0,0,0.0,3,0,3.9,0.0,0.0,0
c31561268fec,192.168.211.129,0,0,0.0,3,0,3.9,0.0,0.0,0
228bfa4fbfae,192.168.211.129,0,0,0.0,2,0,2.9,0.0,0.0,0
0dd9a72876dd,192.168.211.129,0,0,0.0,2,0,2.9,0.0,0.0,0
425f50658eb6,192.168.211.129,0,0,0.0,0,1,1.8,0.0,0.0,0
4616e39fda94,192.168.211.129,0,0,0.0,0,1,1.8,0.0,0.0,0
1bf28eed65e8,192.168.211.129,0,0,0.0,0,1,1.8,0.0,0.0,0
e1956d390927,192.168.211.129,0,0,0.0,0,1,1.7,0.0,0.0,0
e3161e93d0ff,192.168.211.129,0,0,0.0,0,0,0.5,0.0,0.0,0
bc0e95f3d319,192.168.211.129,0,0,0.0,0,1,1.7,0.0,0.0,0
52a272e2caf4,192.168.211.129,0,0,0.0,0,1,1.7,0.0,0.0,0
dea149a712d7,192.168.211.129,0,0,0.0,0,1,1.7,0.0,0.0,0
23600cead593,192.168.211.129,0,0,0.0,0,1,1.7,0.0,0.0,0
c4e56941ea06,192.168.211.129,0,0,0.0,0,1,1.7,0.0,0.0,0
cce04f4da586,192.168.211.129,0,0,0.0,0,1,1.7,0.0,0.0,0
68372ac4534b,192.168.211.129,0,0,0.0,0,1,1.7,0.0,0.0,0
97d21b1b8435,192.168.211.129,0,0,0.0,0,1,1.8,0.0,0.0,0
03e03993a240,192.168.211.129,0,0,0.0,3,0,4.7,0.0,0.0,0
2c2d9f166a62,192.168.211.129,0,0,0.0,2,0,3.7,0.0,0.0,0
3e408b64772b,192.168.211.129,0,0,0.0,3,0,4.7,0.0,0.0,0
d0c6c6bad9d8,192.168.211.129,0,0,0.0,2,0,3.7,0.0,0.0,0
c1a58787261b,192.168.211.129,0,0,0.0,3,0,3.9,0.0,0.0,0
977db3321220,192.168.211.129,0,0,0.0,3,0,3.9,0.0,0.0,0
62d79b1b6cc5,192.168.211.129,0,0,0.0,2,0,2.9,0.0,0.0,0
3e17c2cc0b5e,192.168.211.129,0,0,0.0,2,0,2.9,0.0,0.0,0
64fb081964bc,192.168.211.129,0,0,0.0,0,1,1.7,0.0,0.0,0
2e4dea7cbad1,192.168.211.129,0,0,0.0,0,1,1.7,0.0,0.0,0
f8b3985db4b0,192.168.211.129,0,0,0.0,0,1,1.7,0.0,0.0,0
